"","gutenberg_id","text"
"1",120,"TREASURE ISLAND"
"2",120,""
"3",120,"by Robert Louis Stevenson"
"4",120,""
"5",120,""
"6",120,""
"7",120,""
"8",120,"TREASURE ISLAND"
"9",120,""
"10",120,"To S.L.O., an American gentleman in accordance with whose classic taste"
"11",120,"the following narrative has been designed, it is now, in return for"
"12",120,"numerous delightful hours, and with the kindest wishes, dedicated by his"
"13",120,"affectionate friend, the author."
"14",120,""
"15",120,""
"16",120,""
"17",120,"               TO THE HESITATING PURCHASER"
"18",120,""
"19",120,"               If sailor tales to sailor tunes,"
"20",120,"                  Storm and adventure, heat and cold,"
"21",120,"               If schooners, islands, and maroons,"
"22",120,"                  And buccaneers, and buried gold,"
"23",120,"               And all the old romance, retold"
"24",120,"                  Exactly in the ancient way,"
"25",120,"               Can please, as me they pleased of old,"
"26",120,"                  The wiser youngsters of today:"
"27",120,""
"28",120,"               --So be it, and fall on!  If not,"
"29",120,"                  If studious youth no longer crave,"
"30",120,"               His ancient appetites forgot,"
"31",120,"                  Kingston, or Ballantyne the brave,"
"32",120,"               Or Cooper of the wood and wave:"
"33",120,"                  So be it, also!  And may I"
"34",120,"               And all my pirates share the grave"
"35",120,"                  Where these and their creations lie!"
"36",120,""
"37",120,""
"38",120,"     CONTENTS"
"39",120,""
"40",120,"     PART ONE"
"41",120,"     The Old Buccaneer"
"42",120,""
"43",120,"     1.  THE OLD SEA-DOG AT THE ADMIRAL BENBOW     11"
"44",120,"     2.  BLACK DOG APPEARS AND DISAPPEARS . . . .  17"
"45",120,"     3.  THE BLACK SPOT . . . . . . . . . . . . .  24"
"46",120,"     4.  THE SEA-CHEST  . . . . . . . . . . . . .  30"
"47",120,"     5.  THE LAST OF THE BLIND MAN  . . . . . . .  36"
"48",120,"     6.  THE CAPTAIN'S PAPERS . . . . . . . . . .  41"
"49",120,""
"50",120,"     PART TWO"
"51",120,"     The Sea Cook"
"52",120,""
"53",120,"     7.  I GO TO BRISTOL  . . . . . . . . . . . . . 48"
"54",120,"     8.  AT THE SIGN OF THE SPY-GLASS . . . . . . . 54"
"55",120,"     9.  POWDER AND ARMS  . . . . . . . . . . . . . 59"
