"","gutenberg_id","text"
"1",55,"The Wonderful Wizard of Oz"
"2",55,""
"3",55,""
"4",55,"by"
"5",55,""
"6",55,"L. Frank Baum"
"7",55,""
"8",55,""
"9",55,""
"10",55," Contents"
"11",55,""
"12",55,"       Introduction"
"13",55,"   1.  The Cyclone"
"14",55,"   2.  The Council with the Munchkins"
"15",55,"   3.  How Dorothy Saved the Scarecrow"
"16",55,"   4.  The Road Through the Forest"
"17",55,"   5.  The Rescue of the Tin Woodman"
"18",55,"   6.  The Cowardly Lion"
"19",55,"   7.  The Journey to the Great Oz"
"20",55,"   8.  The Deadly Poppy Field"
"21",55,"   9.  The Queen of the Field Mice"
"22",55,"  10.  The Guardian of the Gates"
"23",55,"  11.  The Emerald City of Oz"
"24",55,"  12.  The Search for the Wicked Witch"
"25",55,"  13.  The Rescue"
"26",55,"  14.  The Winged Monkeys"
"27",55,"  15.  The Discovery of Oz the Terrible"
"28",55,"  16.  The Magic Art of the Great Humbug"
"29",55,"  17.  How the Balloon Was Launched"
"30",55,"  18.  Away to the South"
"31",55,"  19.  Attacked by the Fighting Trees"
"32",55,"  20.  The Dainty China Country"
"33",55,"  21.  The Lion Becomes the King of Beasts"
"34",55,"  22.  The Country of the Quadlings"
"35",55,"  23.  Glinda The Good Witch Grants Dorothy's Wish"
"36",55,"  24.  Home Again"
"37",55,""
"38",55,""
"39",55,""
"40",55,""
"41",55,"Introduction"
"42",55,""
"43",55,""
"44",55,"Folklore, legends, myths and fairy tales have followed childhood"
"45",55,"through the ages, for every healthy youngster has a wholesome and"
"46",55,"instinctive love for stories fantastic, marvelous and manifestly"
"47",55,"unreal.  The winged fairies of Grimm and Andersen have brought more"
"48",55,"happiness to childish hearts than all other human creations."
"49",55,""
"50",55,"Yet the old time fairy tale, having served for generations, may now be"
"51",55,"classed as ""historical"" in the children's library; for the time has"
"52",55,"come for a series of newer ""wonder tales"" in which the stereotyped"
"53",55,"genie, dwarf and fairy are eliminated, together with all the horrible"
"54",55,"and blood-curdling incidents devised by their authors to point a"
"55",55,"fearsome moral to each tale.  Modern education includes morality;"
"56",55,"therefore the modern child seeks only entertainment in its wonder tales"
"57",55,"and gladly dispenses with all disagreeable incident."
"58",55,""
"59",55,"Having this thought in mind, the story of ""The Wonderful Wizard of Oz"""
"60",55,"was written solely to please children of today.  It aspires to being a"
"61",55,"modernized fairy tale, in which the wonderment and joy are retained and"
"62",55,"the heartaches and nightmares are left out."
"63",55,""
"64",55,""
"65",55,"L. Frank Baum"
"66",55,""
"67",55,"Chicago, April, 1900."
"68",55,""
"69",55,""
"70",55,""
"71",55,""
"72",55,"THE WONDERFUL WIZARD OF OZ"
"73",55,""
"74",55,""
"75",55,""
"76",55,""
"77",55,"1.  The Cyclone"
"78",55,""
"79",55,""
"80",55,"Dorothy lived in the midst of the great Kansas prairies, with Uncle"
"81",55,"Henry, who was a farmer, and Aunt Em, who was the farmer's wife.  Their"
"82",55,"house was small, for the lumber to build it had to be carried by wagon"
"83",55,"many miles.  There were four walls, a floor and a roof, which made one"
"84",55,"room; and this room contained a rusty looking cookstove, a cupboard for"
"85",55,"the dishes, a table, three or four chairs, and the beds.  Uncle Henry"
"86",55,"and Aunt Em had a big bed in one corner, and Dorothy a little bed in"
"87",55,"another corner.  There was no garret at all, and no cellar--except a"
"88",55,"small hole dug in the ground, called a cyclone cellar, where the family"
"89",55,"could go in case one of those great whirlwinds arose, mighty enough to"
"90",55,"crush any building in its path.  It was reached by a trap door in the"
"91",55,"middle of the floor, from which a ladder led down into the small, dark"
"92",55,"hole."
"93",55,""
"94",55,"When Dorothy stood in the doorway and looked around, she could see"
"95",55,"nothing but the great gray prairie on every side.  Not a tree nor a"
"96",55,"house broke the broad sweep of flat country that reached to the edge of"
"97",55,"the sky in all directions.  The sun had baked the plowed land into a"
"98",55,"gray mass, with little cracks running through it.  Even the grass was"
"99",55,"not green, for the sun had burned the tops of the long blades until"
"100",55,"they were the same gray color to be seen everywhere.  Once the house"
"101",55,"had been painted, but the sun blistered the paint and the rains washed"
